sentence,pred_sentence,pred_sentence_tok,sentence_tok
เขากำลังจะเล่นเกมแล้ว,ขอบคุณค่ะเล่นเกมส์แล้ว,ขอบคุณ ค่ะ เล่น เกมส์ แล้ว,เขา กำลังจะ เล่น เกม แล้ว
ตลกมากแลดดี้ตลกมาก,ตลกมากแพตตี้โลมา,ตลก มาก แพ ตตี้ โลมา,ตลก มาก แล ดดี้ ตลก มาก
วันนี้คือวันอะไร,คุณนี้คุณอะไร,คุณ นี้ คุณ อะไร,วันนี้ คือ วัน อะไร
ทั้งหมดอยู่ที่นี่,ทั้งหมดอยู่ที่นี่,ทั้งหมด อยู่ ที่นี่,ทั้งหมด อยู่ ที่นี่
คุณทำอะไรไป,คุณทั้งหลายไป,คุณ ทั้งหลาย ไป,คุณ ทำ อะไร ไป
อนาคตศึกษาเป็นการศึกษาอนาคตของมนุษย์,อนาคตศึกษาเป็นการศึกษาอนาคตของมนุษย์,อนาคต ศึกษา เป็น การศึกษา อนาคต ของ มนุษย์,อนาคต ศึกษา เป็น การศึกษา อนาคต ของ มนุษย์
เราต้องหาข้อสรุปของเรื่องนี้ให้ได้,มันต้องหาข้อสรุปของเรื่องนี้ให้ได้,มัน ต้องหา ข้อสรุป ของ เรื่อง นี้ ให้ได้,เรา ต้องหา ข้อสรุป ของ เรื่อง นี้ ให้ได้
และมีวัตถุประสงค์อะไร,เรื่องมีวัตถุประสงค์อะไร,เรื่อง มี วัตถุประสงค์ อะไร,และ มี วัตถุประสงค์ อะไร
เธอใช้แต่สีเข้มเพราะเธอไม่ชอบสีอ่อน,ถ้าใช้สีเข้มเพราะเธอไม่ชอบสีอ่อน,ถ้า ใช้ สีเข้ม เพราะ เธอ ไม่ ชอบ สี อ่อน,เธอ ใช้ แต่ สีเข้ม เพราะ เธอ ไม่ ชอบ สี อ่อน
พวกเราไม่ให้คุณอยู่ที่นี่,พวกเราให้คุณอยู่ที่นี่,พวกเรา ให้ คุณ อยู่ ที่นี่,พวกเรา ไม่ ให้ คุณ อยู่ ที่นี่
เฮลิคอปเตอร์ลำใหญ่บินมารับผู้ประสบภัยพร้อมหน่วยปฐมพยาบาล,มีเคาน์เตอร์หลังใหญ่บินมารับผู้ประสบภัยพร้อมนวดปฐมพยาบาล,มี เคาน์เตอร์ หลัง ใหญ่ บิน มา รับ ผู้ประสบภัย พร้อม นวด ปฐมพยาบาล,เฮลิคอปเตอร์ ลำ ใหญ่ บิน มา รับ ผู้ประสบภัย พร้อม หน่วย ปฐมพยาบาล
ผมเรียนอยู่ที่เชียงใหม่,ตรงอยู่ที่เชียงใหม่,ตรง อยู่ ที่ เชียงใหม่,ผม เรียน อยู่ ที่ เชียงใหม่
มันกินได้หรอ,กินได้หรอก,กิน ได้ หรอก,มัน กิน ได้ หรอ
เรามีเกราะที่อ่อนแอแถมยังมีจำนวนน้อยกว่ามาก,เรามีเกาะที่อ่อนแอมีจำนวนน้อยกว่าห้า,เรา มี เกาะ ที่ อ่อนแอ มี จำนวน น้อยกว่า ห้า,เรา มี เกราะ ที่ อ่อนแอ แถม ยังมี จำนวน น้อยกว่า มาก
เรามีเกราะที่อ่อนแอแถมยังมีจำนวนน้อยกว่ามาก,เรามีเกาะที่อ่อนแอยังมีจำนวนน้อยกว่าห้า,เรา มี เกาะ ที่ อ่อนแอ ยังมี จำนวน น้อยกว่า ห้า,เรา มี เกราะ ที่ อ่อนแอ แถม ยังมี จำนวน น้อยกว่า มาก
แยกอะตอมไฮโดรเจนออกจากโมเลกุลไซยาไนด์,แยกอะตอมไฮโดรเจนออกจากโมเลกุลไซยาไนด์,แยก อะตอม ไฮโดรเจน ออกจาก โมเลกุล ไซยาไนด์,แยก อะตอม ไฮโดรเจน ออกจาก โมเลกุล ไซยาไนด์
เป็นความจริงไหมที่คุณโกงเมื่อคุณได้รับรางวัลความรู้จากพระคัมภีร์,เป็นความจริงไหมที่คุณโกงเมื่อคุณได้รับรางวัลความรู้จากพระคัมภีร์,เป็น ความจริง ไหม ที่ คุณ โกง เมื่อ คุณ ได้ รับรางวัล ความรู้ จาก พระ คัมภีร์,เป็น ความจริง ไหม ที่ คุณ โกง เมื่อ คุณ ได้ รับรางวัล ความรู้ จาก พระ คัมภีร์
ค้นหาตารางสอบ,ค้นหาตารางศอก,ค้นหา ตาราง ศอก,ค้นหา ตาราง สอบ
ทั้งหมดนี้จะนำไปสู่ที่ไหน,ทั้งหมดนี้จะนำไปสู่ที่ไหน,ทั้งหมด นี้ จะ นำไปสู่ ที่ไหน,ทั้งหมด นี้ จะ นำไปสู่ ที่ไหน
แต่ละวันเธอเดินกี่นาที,แต่ละวันกี่เดือนกี่นาที,แต่ละวัน กี่ เดือน กี่ นาที,แต่ละวัน เธอ เดิน กี่ นาที
ฉันเร่งงาน,ถึงเร่งงาน,ถึง เร่ง งาน,ฉัน เร่ง งาน
ฉันเร่งงาน,ฉันเร่งงาน,ฉัน เร่ง งาน,ฉัน เร่ง งาน
ใช้เวลารวบรวมข้อมูลเป็นเวลานาน,ใช้เวลารวบรวมข้อมูลเป็นเวลานาน,ใช้เวลา รวบรวม ข้อมูล เป็นเวลา นาน,ใช้เวลา รวบรวม ข้อมูล เป็นเวลา นาน
คุณมีแผนที่ถนนใช่ไหม,คุณมีแผนที่ทองใช่ไหม,คุณ มี แผนที่ ทอง ใช่ไหม,คุณ มี แผนที่ ถนน ใช่ไหม
ฉันสามารถลาพักร้อนได้ในช่วงบ่าย,ฉันสามารถลาพักร้อนได้ในช่วงบ่าย,ฉัน สามารถ ลาพักร้อน ได้ ใน ช่วง บ่าย,ฉัน สามารถ ลาพักร้อน ได้ ใน ช่วง บ่าย
เขาไม่ค่อยเชื่อเรื่องไสยศาสตร์,เค้าไม่ค่อยเชื่อเรื่องไสยศาสตร์,เค้า ไม่ค่อย เชื่อ เรื่อง ไสยศาสตร์,เขา ไม่ค่อย เชื่อ เรื่อง ไสยศาสตร์
ชีวิตมีสุขภาพดีและแข็งแรงแต่เด็กเกินไป,ชีวิตมีสุขภาพดีและแข็งแรงจะเด็กเกินไป,ชีวิต มี สุขภาพ ดี และ แข็งแรง จะ เด็ก เกินไป,ชีวิต มี สุขภาพ ดี และ แข็งแรง แต่ เด็ก เกินไป
คุณต้องการให้ฉันเข้าหาเขาหรอ,คุณต้องการให้ฉันเข้าหาเค้าหรอ,คุณ ต้องการ ให้ ฉัน เข้าหา เค้า หรอ,คุณ ต้องการ ให้ ฉัน เข้าหา เขา หรอ
การใช้สารเสพติดเป็นอันตรายต่อชีวิต,การใช้สารเสพติดเป็นอันตรายต่อชีวิต,การ ใช้ สารเสพติด เป็นอันตราย ต่อ ชีวิต,การ ใช้ สารเสพติด เป็นอันตราย ต่อ ชีวิต
ทำไมพวกเขาถึงแยกทางกัน,ทำไมพวกถึงแยกทางกัน,ทำไม พวก ถึง แยกทาง กัน,ทำไม พวกเขา ถึง แยกทาง กัน
ทำไมพวกเขาถึงแยกทางกัน,ทำไมผู้คนถึงแยกทางกัน,ทำไม ผู้คน ถึง แยกทาง กัน,ทำไม พวกเขา ถึง แยกทาง กัน
แน่นอนว่าขนมปังกับเนย,แน่นอนว่าขนมปังกับเนย,แน่นอน ว่า ขนมปัง กับ เนย,แน่นอน ว่า ขนมปัง กับ เนย
ตอนนี้หิวข้าวมากอ่ะ,ตอนนี้หิวข้าวมากอ่ะ,ตอนนี้ หิวข้าว มาก อ่ะ,ตอนนี้ หิวข้าว มาก อ่ะ
มันเป็นจุดที่สงสัย,มันเป็นจุดที่สงสัย,มัน เป็น จุด ที่ สงสัย,มัน เป็น จุด ที่ สงสัย
เธอช่วยอะไรไม่ได้หรอกแมวกล่าวเราทุกคนเป็นบ้ากันหมด,จะช่วยอะไรไม่ได้หรอกแนวกล่าวเราทุกคนเป็นบ้าเป็นหมด,จะ ช่วย อะไร ไม่ ได้ หรอก แนว กล่าว เรา ทุกคน เป็นบ้า เป็น หมด,เธอ ช่วย อะไร ไม่ ได้ หรอก แมว กล่าว เรา ทุกคน เป็นบ้า กัน หมด
ราเชลหน้าแดงเขินอายเพราะเธอไม่เคยได้เกรดบีมาก่อน,ราเชลหน้าแดงเขินอายเพราะเธอไม่เคยได้เกรดบีมาก่อน,ราเชล หน้าแดง เขินอาย เพราะ เธอ ไม่ เคย ได้ เกรด บี มา ก่อน,ราเชล หน้าแดง เขินอาย เพราะ เธอ ไม่ เคย ได้ เกรด บี มา ก่อน
โปรดอย่านั่งบนโต๊ะ,โปรดอย่านั่งบนโต๊ะ,โปรด อย่า นั่ง บน โต๊ะ,โปรด อย่า นั่ง บน โต๊ะ
ถ้าการเดินทางข้ามเวลามีจริงก็คงดี,ถ้าการเดินทางข้ามเวลามีจริงก็คงดี,ถ้า การ เดิน ทางข้าม เวลา มี จริง ก็ คง ดี,ถ้า การ เดิน ทางข้าม เวลา มี จริง ก็ คง ดี
คุณอยู่ท่ามกลางพวกเขา,คุณอยู่ท่ามกลางภูเขา,คุณ อยู่ ท่ามกลาง ภูเขา,คุณ อยู่ ท่ามกลาง พวกเขา
คุณจะได้พบกับศูนย์ภายภาพบำบัดในบรรยากาศของบ้านใจกลางเมือง,คุณจะได้พบกับศูนย์กายภาพบำบัดในบรรยากาศของบ้านใจกลางเมือง,คุณ จะ ได้ พบ กับ ศูนย์ กายภาพบำบัด ใน บรรยากาศ ของ บ้าน ใจ กลางเมือง,คุณ จะ ได้ พบ กับ ศูนย์ ภาย ภาพ บำบัด ใน บรรยากาศ ของ บ้าน ใจ กลางเมือง
ฉันคิดว่าเธอไม่มีสิ่งไม่ดี,ฉันคิดว่าเธอไม่มีสิ่งไม่ดี,ฉัน คิด ว่า เธอ ไม่ มี สิ่ง ไม่ ดี,ฉัน คิด ว่า เธอ ไม่ มี สิ่ง ไม่ ดี
พวกเขาจะได้รับในรูปแบบดั้งเดิมของพวกเขา,เขาจะได้รับในรูปแบบทั้งเดือนของภูเขา,เขา จะ ได้รับ ใน รูปแบบ ทั้ง เดือน ของ ภูเขา,พวกเขา จะ ได้รับ ใน รูปแบบ ดั้งเดิม ของ พวกเขา
เปรียบเทียบการตรวจสอบเพื่อตรวจสอบความถูกต้อง,เปรียบเทียบการตรวจสอบผู้ตรวจสอบความถูกต้อง,เปรียบเทียบ การ ตรวจสอบ ผู้ตรวจสอบ ความถูกต้อง,เปรียบเทียบ การ ตรวจสอบ เพื่อ ตรวจสอบ ความถูกต้อง
ใครไปย่านบางรักต้องอย่าลืมแวะร้านเป็ดย่างประจักษ์ร้านอาหารเก่าแก่,ใครไปย่านบางรักต้องอย่าลืมแวะร้านเป็ดย่างประจักษ์ร้านอาหารเก่าแก่,ใคร ไป ย่าน บาง รัก ต้อง อย่า ลืม แวะ ร้าน เป็ด ย่าง ประจักษ์ ร้านอาหาร เก่าแก่,ใคร ไป ย่าน บาง รัก ต้อง อย่า ลืม แวะ ร้าน เป็ด ย่าง ประจักษ์ ร้านอาหาร เก่าแก่
ฉันได้ยินมาว่าดินแดนที่พวกฮอบบิทอาศัยอยู่นั้นได้ถูกถ่ายทำที่นิวซีแลนด์,ฉันได้ยินมาว่าดินแดนที่พูดความผิดอาศัยอยู่นั้นได้ถูกถ่ายทั้งที่นิวซีแลนด์,ฉัน ได้ยิน มา ว่า ดินแดน ที่ พูด ความผิด อาศัย อยู่ นั้น ได้ ถูก ถ่าย ทั้งที่ นิวซีแลนด์,ฉัน ได้ยิน มา ว่า ดินแดน ที่ พวก ฮอบ บิท อาศัย อยู่ นั้น ได้ ถูก ถ่ายทำ ที่ นิวซีแลนด์
มันทำให้ฉันทุกข์ใจตั้งแต่นั้นมา,มันทำให้ฉันทุกข์ใจตั้งแต่นั้นมา,มัน ทำให้ ฉัน ทุกข์ใจ ตั้งแต่นั้นมา,มัน ทำให้ ฉัน ทุกข์ใจ ตั้งแต่นั้นมา
คนเดินเท้ากำลังยืนอยู่บนทางเท้าปูด้วยหินกรวด,คนเดินเท้ากำลังยืนอยู่บนทางเท้าปูด้วยหินกรวด,คนเดินเท้า กำลัง ยืน อยู่ บน ทางเท้า ปู ด้วย หิน กรวด,คนเดินเท้า กำลัง ยืน อยู่ บน ทางเท้า ปู ด้วย หิน กรวด
พรุ่งนี้ฝนจะตกไหม,พรุ่งนี้ฝนจะตกไหม,พรุ่งนี้ ฝน จะ ตก ไหม,พรุ่งนี้ ฝน จะ ตก ไหม
เขาเดินเล่นในสวนสาธารณะประจำจังหวัด,เขาเดินเล่นในสวนสาธารณะประจำจังหวัด,เขา เดินเล่น ใน สวนสาธารณะ ประจำจังหวัด,เขา เดินเล่น ใน สวนสาธารณะ ประจำจังหวัด
ยิวยิตสูและยูโดเป็นกีฬาที่ใช้มือจับล็อกลงพื้น,UNITศูนย์และยูโดเป็นกีฬาที่ใช้มือจับล๊อคลงพื้น,UNIT ศูนย์ และ ยูโด เป็น กีฬา ที่ ใช้ มือจับ ล๊อค ลงพื้น,ยิว ยิต สู และ ยูโด เป็น กีฬา ที่ ใช้ มือจับ ล็อก ลงพื้น
เขาไม่สามารถเข้าใจถึงคุณค่าของภาพถ่าย,เขาให้สามารถเข้าใจถึงคุณค่าของภาพถ่าย,เขา ให้ สามารถ เข้า ใจถึง คุณค่า ของ ภาพถ่าย,เขา ไม่ สามารถ เข้า ใจถึง คุณค่า ของ ภาพถ่าย
ฉันรู้สึกมั่นใจว่าทักษะของฉันนั้นสอดคล้องกับลักษณะของงาน,ฉันรู้สึกมั่นใจว่าทักษะของชั้นนั้นสอดคล้องกับลักษณะของงาน,ฉัน รู้สึก มั่นใจ ว่า ทักษะ ของ ชั้น นั้น สอดคล้อง กับ ลักษณะ ของ งาน,ฉัน รู้สึก มั่นใจ ว่า ทักษะ ของ ฉันนั้น สอดคล้อง กับ ลักษณะ ของ งาน
เมื่อคุณพบข้อผิดพลาดในซอฟต์แวร์โปรดรายงาน,เมื่อคุณพบข้อผิดพลาดในSOFTWAREตรวจรายงาน,เมื่อ คุณ พบ ข้อผิดพลาด ใน SOFTWARE ตรวจ รายงาน,เมื่อ คุณ พบ ข้อผิดพลาด ใน ซอฟต์แวร์ โปรด รายงาน
มันเหมือนเดิมเสมอ,หนึ่งเหมือนเดิมเสมอ,หนึ่ง เหมือนเดิม เสมอ,มัน เหมือนเดิม เสมอ
เธอยังคงยืนอยู่ในห้องโถง,ทุยคงยืนอยู่ในห้องโถง,ทุย คง ยืน อยู่ ใน ห้องโถง,เธอ ยังคง ยืน อยู่ ใน ห้องโถง
คุณต้องการอะไรที่นี่,คุณต้องการอะไรที่นี่,คุณ ต้องการ อะไร ที่นี่,คุณ ต้องการ อะไร ที่นี่
โลกออนไลน์มีทั้งข่าวจริงและข่าวปลอม,โลกออนไลน์มีทั้งขาวจริงและข่าวกรอง,โลก ออนไลน์ มี ทั้ง ขาว จริง และ ข่าวกรอง,โลก ออนไลน์ มี ทั้ง ข่าว จริง และ ข่าว ปลอม
ประตูเปิดอยู่,ดูเปิดอยู่,ดู เปิด อยู่,ประตู เปิด อยู่
กลุ่มจากเบลเยียมวางแผนที่จะเดินป่าในวันพุธ,กลุ่มจากเบลเยี่ยมวางแผนที่จะเดินป่านวดผุด,กลุ่ม จาก เบลเยี่ยม วางแผน ที่จะ เดินป่า นวด ผุด,กลุ่ม จาก เบลเยียม วางแผน ที่จะ เดินป่า ใน วัน พุธ
กลุ่มจากเบลเยียมวางแผนที่จะเดินป่าในวันพุธ,กลุ่มจากเบลเยี่ยมวางแผนที่จะเดินป่าหมดผุด,กลุ่ม จาก เบลเยี่ยม วางแผน ที่จะ เดินป่า หมด ผุด,กลุ่ม จาก เบลเยียม วางแผน ที่จะ เดินป่า ใน วัน พุธ
ดูสิจอห์นฉันไม่สามารถซัพพอร์ตได้,ดูสิจอห์นฉันไม่สามารถSPORTได้,ดู สิ จอห์น ฉัน ไม่ สามารถ SPORT ได้,ดู สิ จอห์น ฉัน ไม่ สามารถ ซัพพอร์ต ได้
มันสายเกินไปแล้วที่จะปราถนาสิ่งนั้น,มันสายเกินไปแล้วที่จะปรารถนาสิ่งนั้น,มัน สาย เกินไป แล้ว ที่จะ ปรารถนา สิ่ง นั้น,มัน สาย เกินไป แล้ว ที่จะ ป รา ถ นา สิ่ง นั้น
ฉันจะต้องตาย,ฉันจะต้องตาย,ฉัน จะ ต้อง ตาย,ฉัน จะ ต้อง ตาย
ดูข้อมูลหุ้นแอดวานซ์,ดูข้อมูลคุณแอบหวัง,ดู ข้อมูล คุณ แอบ หวัง,ดู ข้อมูล หุ้น แอดวานซ์
ดูข้อมูลหุ้นแอดวานซ์,อยู่ข้อมูลคุณแอบหวัง,อยู่ ข้อมูล คุณ แอบ หวัง,ดู ข้อมูล หุ้น แอดวานซ์
เธอพูดว่าหมูหรือหมู่นะแมวถาม,เธอพูดว่าหมู่และหมู่นะแนวทาง,เธอ พูดว่า หมู่ และ หมู่ นะ แนวทาง,เธอ พูดว่า หมู หรือ หมู่ นะ แมว ถาม
นายกรัฐมนตรีดูเหมือนจะร้องเพลงกับเลขานุการของเธอในสวนหลังบ้าน,นายกรัฐมนตรีดูเหมือนจะร้องเพลงกับเลขาส่วนคนอื่นอีกสวนหลังบ้าน,นายกรัฐมนตรี ดูเหมือน จะ ร้องเพลง กับ เลขา ส่วน คนอื่น อีก สวน หลังบ้าน,นายกรัฐมนตรี ดูเหมือน จะ ร้องเพลง กับ เลขานุการ ของ เธอ ใน สวน หลังบ้าน
สามารถสร้างรายได้ได้เป็นอย่างดี,สามารถสร้างรายได้ได้เป็นอย่างดี,สามารถ สร้าง รายได้ ได้ เป็น อย่าง ดี,สามารถ สร้าง รายได้ ได้ เป็น อย่าง ดี
เครื่องบินลำแรกบินน้อยกว่าหนึ่งศตวรรษมาแล้ว,เครื่องบินลำแรกบินน้อยกว่าหนึ่งศตวรรษมาแล้ว,เครื่องบิน ลำ แรก บิน น้อยกว่า หนึ่ง ศตวรรษ มา แล้ว,เครื่องบิน ลำ แรก บิน น้อยกว่า หนึ่ง ศตวรรษ มา แล้ว
อนุญาตให้ฉันบีบคอคุณ,อนุญาตให้ฉันบีบคอคุณ,อนุญาต ให้ ฉัน บีบ คอ คุณ,อนุญาต ให้ ฉัน บีบ คอ คุณ
เดี๋ยวนี้จะหาฤๅษีดัดตนได้ที่ไหนในป่าอิสิปตนมฤคทายวันหรือไง,เดี๋ยวนี้จะหาฤาษีดัดตนได้ที่ไหนในป่าอิสิปตนะมฤคทายวันหรือไง,เดี๋ยวนี้ จะ หา ฤาษี ดัดตน ได้ ที่ไหน ใน ป่า อิสิ ปต นะ มฤคทายวัน หรือไง,เดี๋ยวนี้ จะ หา ฤๅษี ดัดตน ได้ ที่ไหน ใน ป่า อิสิ ปตน มฤคทายวัน หรือไง
คนกวาดถนนผู้หญิงทำงานอย่างคล่องแคล่ว,คนกวาดถนนผู้หญิงทำงานอยู่คล่องแคล่ว,คนกวาดถนน ผู้หญิง ทำงาน อยู่ คล่องแคล่ว,คนกวาดถนน ผู้หญิง ทำงาน อย่าง คล่องแคล่ว
คนกวาดถนนผู้หญิงทำงานอย่างคล่องแคล่ว,คนกวาดถนนผู้หญิงทำงานอยู่ไคโร,คนกวาดถนน ผู้หญิง ทำงาน อยู่ ไคโร,คนกวาดถนน ผู้หญิง ทำงาน อย่าง คล่องแคล่ว
กรุงโรมไม่ได้สร้างเสร็จในหนึ่งวัน,กรุงโรมไม่ได้สร้างเสร็จในหนึ่งวัน,กรุง โรม ไม่ ได้ สร้าง เสร็จ ใน หนึ่ง วัน,กรุง โรม ไม่ ได้ สร้าง เสร็จ ใน หนึ่ง วัน
รับไว้เถอะ,เราไปเหอะ,เรา ไป เหอะ,รับ ไว้ เถอะ
ผมดีใจกับสิ่งนี้นะโดยไม่แสดงอาการออกมา,พรุ่งนี้ใช้กับสิ่งนี้นะโดยไม่แสดงอาการออกมา,พรุ่งนี้ ใช้กับ สิ่ง นี้ นะ โดย ไม่ แสดงอาการ ออกมา,ผม ดีใจ กับ สิ่ง นี้ นะ โดย ไม่ แสดงอาการ ออกมา
เด็กรีบไปโรงพยาบาลหลังจากกลืนหมวก,เด็กรีบไปโรงพยาบาลหลังจากคุยหมวก,เด็ก รีบ ไป โรงพยาบาล หลังจาก คุย หมวก,เด็ก รีบ ไป โรงพยาบาล หลังจาก กลืน หมวก
ดนตรีนั่นช่างจับใจ,ดนตรีนั้นช่องจากใจ,ดนตรี นั้น ช่อง จาก ใจ,ดนตรี นั่น ช่าง จับใจ
เขาทำไวน์หกแต่คงไม่ยอมรับหรอก,เขาทำไว้หกยังคงไม่ยอมรับหรอก,เขา ทำ ไว้ หก ยังคง ไม่ ยอมรับ หรอก,เขา ทำ ไวน์ หก แต่ คง ไม่ ยอมรับ หรอก
ใช่มันน่าจะยาก,ใช้นางพญามาก,ใช้ นางพญา มาก,ใช่ มัน น่าจะ ยาก
ใช่มันน่าจะยาก,ใช้นางพญาสยาก,ใช้ นางพญา ส ยาก,ใช่ มัน น่าจะ ยาก
ดูเหมือนจะเป็นนิ้วที่แปลกของพระเจ้า,ดูเหมือนจะเป็นที่แปลกของพระเจ้า,ดูเหมือน จะ เป็นที่ แปลก ของ พระเจ้า,ดูเหมือน จะ เป็น นิ้ว ที่ แปลก ของ พระเจ้า
ดูเหมือนจะเป็นนิ้วที่แปลกของพระเจ้า,ดูเหมือนจะเป็นวิวที่แปลกของพระเจ้า,ดูเหมือน จะ เป็น วิว ที่ แปลก ของ พระเจ้า,ดูเหมือน จะ เป็น นิ้ว ที่ แปลก ของ พระเจ้า
พวกเราจะกลายเป็นอะไร,พวกเราจะกลายเป็นอะไร,พวกเรา จะ กลายเป็น อะไร,พวกเรา จะ กลายเป็น อะไร
เห็นได้ชัดว่านี่คือรสชาติของชัยชนะ,เห็นดิฉันว่ามันคือรสชาติของชัยชนะ,เห็น ดิฉัน ว่า มัน คือ รสชาติ ของ ชัยชนะ,เห็นได้ชัด ว่า นี่ คือ รสชาติ ของ ชัยชนะ
บางทีเราควรเข้าร่วมชมรมไวน์,บางทีเราควรเข้าร่วมชุมนุมไว้,บางที เรา ควร เข้าร่วม ชุมนุม ไว้,บางที เรา ควร เข้าร่วม ชมรม ไวน์
ทำไมคุณต้องเล่าเรื่องราวของฉันให้กับคนหลายคนได้ฟังกัน,ทำไมคุณต้องเล่าเรื่องราวของฉันให้กับคนหลายคนได้ฟังกัน,ทำไม คุณ ต้อง เล่า เรื่องราว ของ ฉัน ให้ กับ คน หลาย คน ได้ ฟัง กัน,ทำไม คุณ ต้อง เล่า เรื่องราว ของ ฉัน ให้ กับ คน หลาย คน ได้ ฟัง กัน
หัวใจของเขาคือการอยู่อย่างพอเพียง,หัวใจของเขาคือการอยู่อย่างพอเพียง,หัวใจ ของ เขา คือ การ อยู่ อย่าง พอเพียง,หัวใจ ของ เขา คือ การ อยู่ อย่าง พอเพียง
สองอันเท่าไหร่,สองพันเท่าไหร่,สอง พัน เท่าไหร่,สอง อัน เท่าไหร่
ฉันทำสิ่งนั้นไม่ได้,ฉันทำสิ่งนั้นไม่ได้,ฉัน ทำ สิ่ง นั้น ไม่ ได้,ฉัน ทำ สิ่ง นั้น ไม่ ได้
มะเขือนี้เหมือนกับมะเขือยาว,เมื่อคืนนี้เหมือนกับเมื่อคือยาว,เมื่อคืนนี้ เหมือนกับ เมื่อ คือ ยาว,มะเขือ นี้ เหมือนกับ มะเขือ ยาว
ขบวนแห่เฉลิมฉลองนี้ถูดจัดขึ้นมาแล้วกี่ครั้งในเมืองนี้,ควรแห่เฉลิมฉลองนี้ถูกจัดขึ้นมาแล้วกี่ครั้งในเมืองนี้,ควร แห่ เฉลิมฉลอง นี้ ถูก จัด ขึ้น มา แล้ว กี่ ครั้ง ใน เมือง นี้,ขบวนแห่ เฉลิมฉลอง นี้ ถู ด จัด ขึ้น มา แล้ว กี่ ครั้ง ใน เมือง นี้
คุณกำลังพูดเรื่องอะไร,คุณกำลังพูดเรื่องอะไร,คุณ กำลัง พูด เรื่อง อะไร,คุณ กำลัง พูด เรื่อง อะไร
เบอร์ตี้ปล่อยฉันไปแต่ฉันไม่ได้จับคุณ,เบอร์ที่ปล่อยฉันไปแต่ฉันไม่ได้จับคุณ,เบอร์ ที่ ปล่อย ฉัน ไป แต่ ฉัน ไม่ ได้ จับ คุณ,เบอร์ ตี้ ปล่อย ฉัน ไป แต่ ฉัน ไม่ ได้ จับ คุณ
คุณใช้อีเมล์ของลูกค้าอันไหน,คุณใช้อีเมล์ของลูกค้าอันไหน,คุณ ใช้ อีเมล์ ของ ลูกค้า อัน ไหน,คุณ ใช้ อีเมล์ ของ ลูกค้า อัน ไหน
มันไปได้ด้วยดีไม่มีคำถามสำหรับเรื่องนั้น,มันไปได้ด้วยนี่ไม่มีคำถามสำหรับเรื่องนั้น,มัน ไป ได้ ด้วย นี่ ไม่ มี คำถาม สำหรับ เรื่อง นั้น,มัน ไป ได้ ด้วยดี ไม่ มี คำถาม สำหรับ เรื่อง นั้น
พรุ่งนี้จำเป็นต้องมีทนายความหรือไม่ครับ,พรุ่งนี้จำเป็นต้องมีทนายความหรือไม่ครับ,พรุ่งนี้ จำเป็นต้อง มี ทนายความ หรือไม่ ครับ,พรุ่งนี้ จำเป็นต้อง มี ทนายความ หรือไม่ ครับ
พ่อของฉันเป็นชาวนา,พ่อของฉันเป็นชาวนา,พ่อ ของ ฉัน เป็น ชาวนา,พ่อ ของ ฉัน เป็น ชาวนา
เรื่องของรสนิยมไม่มีหลักตายตัว,เรื่องของรสนิยมไม่มีหลังตายตัว,เรื่อง ของ รสนิยม ไม่ มี หลัง ตายตัว,เรื่อง ของ รสนิยม ไม่ มี หลัก ตายตัว
เปลี่ยนล็อบสเตอร์อีกแล้วเขาตะโกนอย่างสุดเสียง,เพียงLOBSTERอีกแล้วเขาตะโกนอย่างสุ้มเสียง,เพียง LOBSTER อีกแล้ว เขา ตะโกน อย่าง สุ้มเสียง,เปลี่ยน ล็อบส เต อร ์ อีกแล้ว เขา ตะโกน อย่าง สุดเสียง
ตอนนี้สายตึงมาก,ตอนนี้สายตึงมาก,ตอนนี้ สาย ตึง มาก,ตอนนี้ สาย ตึง มาก
ฉันหวังว่าคุณจะตั้งใจรักษาสัญญาของคุณนะ,ฉันหวังว่าคุณจะตั้งใจรักษาสัญญาของคุณนะ,ฉัน หวัง ว่า คุณ จะ ตั้งใจ รักษา สัญญา ของ คุณ นะ,ฉัน หวัง ว่า คุณ จะ ตั้งใจ รักษา สัญญา ของ คุณ นะ
มีอะไรที่ฉันพอช่วยได้ไหม,มีอะไรที่ฉันพอช่วยได้ไหม,มี อะไร ที่ ฉัน พอ ช่วย ได้ ไหม,มี อะไร ที่ ฉัน พอ ช่วย ได้ ไหม
ฉันถือมันด้วยมือที่ว่างเปล่า,ฉันถือมันไว้มือที่ว่างเปล่า,ฉัน ถือ มัน ไว้ มือ ที่ว่างเปล่า,ฉัน ถือ มัน ด้วยมือ ที่ว่างเปล่า
ฉันถือมันด้วยมือที่ว่างเปล่า,ฉันถือมันด้วยมือที่ว่างเปล่า,ฉัน ถือ มัน ด้วยมือ ที่ว่างเปล่า,ฉัน ถือ มัน ด้วยมือ ที่ว่างเปล่า
มันเป็นถนนลาดยาวที่ไม่มีทางเลี้ยว,มันเป็นถนนรางยาวที่ไม่มีทางเลี้ยว,มัน เป็น ถนน ราง ยาว ที่ ไม่ มีทาง เลี้ยว,มัน เป็น ถนน ลาด ยาว ที่ ไม่ มีทาง เลี้ยว
