sentence,pred_sentence_tok
ฉันสามารถลาพักร้อนได้ในช่วงบ่าย,ฉัน สามารถ ลาพักร้อน ได้ ใน ช่วง บ่าย
เขาไม่ค่อยเชื่อเรื่องไสยศาสตร์,เขา ไม่ค่อย เชื่อ เรื่อง สยศาสตร์
ชีวิตมีสุขภาพดีและแข็งแรง แต่เด็กเกินไป,ชีวิต มี สุขภาพ ดี และ แข็งแรง   แต่ เด็ก เกินไป
คุณต้องการให้ฉันเข้าหาเขาหรอ,คุณ ต้องการ ให้ ฉัน เข้าหา เขา หรอ
การใช้สารเสพติดเป็นอันตรายต่อชีวิต,การ ใช้ สารเสพติด เป็นอันตราย ต่อ ชีวิต
ทำไมพวกเขาถึงแยกทางกัน,ทำไม พวกเขา ถึง แยก ทางกัน
แน่นอนว่าขนมปังกับเนย,แน่นอน ว่า ขนมปัง กับ เนย
ตอนนี้หิวข้าวมากอ่ะ,ตอนนี้ หิวข้าว มาก ว่ะ
มันเป็นจุดที่สงสัย,มัน เป็น จุด ที่ สงสัย
เธอช่วยอะไรไม่ได้หรอก แมวกล่าว เราทุกคนเป็นบ้ากันหมด,เธอ ช่วย อะไร ไม่ ได้ หรอก   แมว กล่าว   เรา ทุกคน เป็นบ้า กัน หมด
ราเชลหน้าแดง เขินอาย เพราะเธอไม่เคยได้เกรด บี มาก่อน,รา เชล หน้าแดง   เขิน อาย   เพราะ เธอ ไม่ เคย ได้ เกรด บี มา ก่อน
โปรดอย่านั่งบนโต๊ะ,โปรด อย่า นั่ง บน โต๊ะ
ถ้าการเดินทางข้ามเวลามีจริงก็คงดี,ถ้า การ เดินทางข้าม เวลา มี จริง ก็ คง ดี
คุณอยู่ท่ามกลางพวกเขา,คุณ อยู่ ท่ามกลาง พวกเขา
คุณจะได้พบกับศูนย์ภายภาพบำบัดในบรรยากาศของบ้านใจกลางเมือง,คุณ จะ ได้ พบ กับ ศูนย์กายภาพบำบัติ ใน บรรยากาศ ของ บ้าน ใจ กลางเมือง
ฉันคิดว่าเธอไม่มีสิ่งไม่ดี,ฉัน คิด ว่า เธอ ไม่ มี สิ่ง ไม่ ดี
พวกเขาจะได้รับในรูปแบบดั้งเดิมของพวกเขา,พวกเขา จะ ได้รับ ใน รูปแบบ ดั้งเดิม ของ พวกเขา
เปรียบเทียบการตรวจสอบเพื่อตรวจสอบความถูกต้อง,เปรียบเทียบ การ ตรวจสอบ เพื่อ ตรวจสอบ ความถูกต้อง
ใครไปย่านบางรักต้องอย่าลืมแวะร้านเป็ดย่างประจักษ์ ร้านอาหารเก่าแก่,ใคร ไป ย่าน บาง รัก   ต้อง อย่า ลืม แวะ ร้าน เป็ด ย่างประจัก   ร้านอาหาร เก่าแก่
ฉันได้ยินมาว่าดินแดนที่พวกฮอบบิทอาศัยอยู่นั้นได้ถูกถ่ายทำที่นิวซีแลนด์,ฉัน ได้ยิน มา ว่า ดินแดน ที่ พวก คอ ปิด อาศัย อยู่ นั้น ได้ ถูก ถ่ายทำ ที่ นิวซีแลนด์
มันทำให้ฉันทุกข์ใจตั้งแต่นั้นมา,มัน ทำให้ ฉัน ทุกใจ ตั้งแต่นั้นมา
คนเดินเท้ากำลังยืนอยู่บนทางเท้าปูด้วยหินกรวด,คน เดินเท้า กำลัง ยืน อยู่ บน ทางเท้า ปู ด้วย หินกรวด
พรุ่งนี้ฝนจะตกไหม,พรุ่งนี้ ฝน จะ ตก ไหม
เขาเดินเล่นในสวนสาธารณะประจำจังหวัด,เขา เดินเล่น ใน สวนสาธารณประจำจังหวัด
ยิวยิตสูและยูโดเป็นกีฬาที่ใช้มือจับล็อกลงพื้น,ยิ ว ยิด สู และ ยูโด   เป็น กีฬา ที่ ใช้ มือ จับ ล็อก ลงพื้น
เขาไม่สามารถเข้าใจถึงคุณค่าของภาพถ่าย,เขา ไม่ สามารถ เข้าใจ ถึง คุณค่า ของ ภาพทาย
ฉันรู้สึกมั่นใจว่าทักษะของฉันนั้นสอดคล้องกับลักษณะของงาน,ฉัน รู้สึก มั่นใจ ว่า ทักษะ ของ ฉันนั้น สอดคล้อง กับ ลักษณะ ของ งาน
เมื่อคุณพบข้อผิดพลาดในซอฟต์แวร์โปรดรายงาน,เมื่อ คุณ พบ ข้อผิดพลาด ใน ซอ ฟต์แวร์ โปรด รายงาน
มันเหมือนเดิมเสมอ,มัน หมือนเดิม เสมอ
เธอยังคงยืนอยู่ในห้องโถง,เธอ ยัง คง ยืน อยู่ ใน ห้องโถง
คุณต้องการอะไรที่นี่,คุณ ต้องการ อะไร ที่นี่
โลกออนไลน์มีทั้งข่าวจริงและข่าวปลอม,โลก ออนไลน์ มี ทั้ง ข่าว จริง   และ ข่าว ปลอม
ประตูเปิดอยู่,ประตู เปิด อยู่
กลุ่มจากเบลเยียมวางแผนที่จะเดินป่าในวันพุธ,กลุ่ม จาก เบลเยียม วางแผน ที่จะ เดิน ป่า ใน วัน พุธ
ดูสิจอห์น ฉันไม่สามารถซัพพอร์ตได้,ดู สิ จอ์น ฉัน ไม่ สามารถ แสบพอร์ต ได้
มันสายเกินไปแล้วที่จะปราถนาสิ่งนั้น,มัน สาย เกิน ไป แล้ว ที่จะ ปรารถนา สิ่ง นั้น
ฉันจะต้องตาย,ฉัน จะ ต้อง ตาย
ดูข้อมูลหุ้นแอดวานซ์,ดู ข้อมูล คุ้น แอดวานซ์
เธอพูดว่าหมูหรือหมู่นะ แมวถาม,เธอ พูดว่า หมู   แลอ หมู่ นะ   แมว ถาม
นายกรัฐมนตรีดูเหมือนจะร้องเพลงกับเลขานุการของเธอในสวนหลังบ้าน,นายกรัฐมนตรี ดูเหมือน จะ ร้องเพลง กับ เลขานุการ ของ เธอ ใน สวน หลังบ้าน
สามารถสร้างรายได้ได้เป็นอย่างดี,สามารถ สร้าง รายได้ ได้ เป็น อย่าง ดี
เครื่องบินลำแรกบินน้อยกว่าหนึ่งศตวรรษมาแล้ว,เครื่องบิน ลำ แรก บิน น้อย กว่า หนึ่ง ศตวรรษ มา แล้ว
อนุญาตให้ฉันบีบคอคุณ,อนุญาต ให้ ฉัน บีบ คอ คุณ
เดี๋ยวนี้จะหาฤๅษีดัดตนได้ที่ไหน ในป่าอิสิปตนมฤคทายวันหรือไง,เดี๋ยวนี้ จะ หา ฤๅสี แติด ต้น ได้ ที่ไหน   ใน ป่า อิ สิบ ปัตน ม ฤคทา ยะวัน หรือไง
คนกวาดถนนผู้หญิงทำงานอย่างคล่องแคล่ว,คนกวาด ถนนผู้หญิง ทำงาน อย่าง คล่องแคล่ว
กรุงโรมไม่ได้สร้างเสร็จในหนึ่งวัน,กรุง โรม ไม่ ได้ สร้าง เสร็จ ใน หนึ่ง วัน
รับไว้เถอะ,รัก ไพ เถอะ
ผมดีใจกับสิ่งนี้นะโดยไม่แสดงอาการออกมา,ผม ดีใจ กับ สิ่ง นี้ นะ   โดย ไม่ แสดง อาการ ออกมา
เด็กรีบไปโรงพยาบาลหลังจากกลืนหมวก,เด็ก รีบ ไป โรงพยาบาล หลังจาก กลืน หมวก
ดนตรีนั่นช่างจับใจ,ดนตรี นั่น ช่าง จับใจ
เขาทำไวน์หก แต่คงไม่ยอมรับหรอก,เขา ทำ ไวน์ หก แต่ คง ไม่ ยอมรับ หรอก
ใช่ มันน่าจะยาก,ใช่ มัน น่าจะ ยาก
ดูเหมือนจะเป็นนิ้วที่แปลกของพระเจ้า,ดูเหมือน จะ เป็น นิ้ว ที่ แปลก ของ พระเจ้า
พวกเราจะกลายเป็นอะไร,พวกเรา จะ กลายเป็น อะไร
เห็นได้ชัดว่านี่คือรสชาติของชัยชนะ,เห็นได้ชัด ว่า นี่ คือ รสชาติ ของ ชัย ชนะ
บางทีเราควรเข้าร่วมชมรมไวน์,บางที เรา ควร เข้าร่วม ชมลม วาย
ทำไมคุณต้องเล่าเรื่องราวของฉันให้กับคนหลายคนได้ฟังกัน,ทำไม คุณ ต้อง เล่า เรื่องราว ของ ฉัน ให้ กับ คน หลาย คน ด้วย ฟัง กัน
หัวใจของเขาคือการอยู่อย่างพอเพียง,หัวใจ ของ เขา คือ การ อยู่ อย่าง พอเพียง
สองอันเท่าไหร่,สอง อัน เท่าไหร่
ฉันทำสิ่งนั้นไม่ได้,ฉัน ทำ สิ่ง นั้น ไม่ ได้
มะเขือนี้เหมือนกับมะเขือยาว,มะอเขือนี้ เหมือนกับ มะเขือ ยาว
ขบวนแห่เฉลิมฉลองนี้ถูดจัดขึ้นมาแล้วกี่ครั้งในเมืองนี้,ขบวนหา เฉลิมฉลอง นี้ ถูก จัด ขึ้น มา แล้ว กี่ ครั้ง ใน เมือง นี้
คุณกำลังพูดเรื่องอะไร,คุณ กำลัง พูด เรื่อง อะไร
เบอร์ตี้ ปล่อยฉันไป แต่ฉันไม่ได้จับคุณ,เบอร์ ตี้ ปล่อย ฉัน ไป   แต่ ฉัน ไม่ ได้ จับ คุณ
คุณใช้อีเมล์ของลูกค้าอันไหน,คุณ ใช้ อีเมล์ ของ ลูกค้า อัน ไหน
มันไปได้ด้วยดี ไม่มีคำถามสำหรับเรื่องนั้น,มัน ไป ได้ ด้วยดี   ไม่ มี คำถาม สำหรับ เรื่อง นั้น
พรุ่งนี้จำเป็นต้องมีทนายความหรือไม่ครับ,พรุ่งนี้ จำเป็นต้อง มี ทนายความ หรือไม่ ครับ
พ่อของฉันเป็นชาวนา,พ่อ ของ ฉัน เป็น ชาวนา
เรื่องของรสนิยมไม่มีหลักตายตัว,เรื่อง ของ รจนิยม ไม่ มี หลักตาย ตัว
เปลี่ยนล็อบสเตอร์อีกแล้ว เขาตะโกนอย่างสุดเสียง,เรียก ลอบสเต อร์ อีกแล้ว   เขา ตะโกน อย่าง สุดเสียง
ตอนนี้สายตึงมาก,ตอนนี้ สาย ตึง มาก
ฉันหวังว่าคุณจะตั้งใจรักษาสัญญาของคุณนะ,ฉัน หวัง ว่า คุณ จะ ตั้งใจ รักษา สัญญา ของ คุณ นะ
มีอะไรที่ฉันพอช่วยได้ไหม,มี อะไร ที่ ฉัน พอ ช่วย ได้ ไหม
ฉันถือมันด้วยมือที่ว่างเปล่า,ฉัน ถือ มัน ด้วยมือ ที่ว่างเปล่า
มันเป็นถนนลาดยาวที่ไม่มีทางเลี้ยว,มัน เป็น ถนน ลาด ยาว ที่ ไม่ มี ทางเลี้ยว
ฉันคิดว่าฉันก็อาจจะเข้าไปข้างในทันทีเช่นกัน พูดพลางก้าวเข้าไปข้างใน,ฉัน คิด ว่า ฉัน ก็ อาจจะ เข้าไป ข้างใน ทันที เช่นกัน   พูด พลาง ก้าว เข้าไป ข้างใน
นอนลงไป และก็เล่าให้ฉันฟังสิ,นอน ลง ไป แล้ว ก็ เล่า ให้ ฉัน ฟัง สิ
ต้องทำอะไรให้เสร็จ,ต้อง ทำ อะไร ให้ เสร็จ
เขากล่าวทักทายตอนเช้า,เขา กล่าว ทักทาย ตอนเช้า
กรุณาเสนอคะแนนและมุมมองของคุณ,กรุณา เสนอ คะแนน และ มุมมอง ของ คุณ
เขาพูดอย่างกังวลใจว่ามันแทบจะไม่เพียงพอ,ก็ พูด อย่าง กังกูลใจ ว่า มัน แทบจะ ไม่ เพียงพอ
ความนับถือตนเองที่ต่ำของเธอน่าสงสาร,ความนับถือ ตนเอง ที่ต่ำ ของ เธอ น่าสงสาร
พวกเขาอยู่ในห้องรับประทานอาหารกำลังดื่มวิสกี้กับโซดา,พวกเขา อยู่ ใน ห้อง รับประทาน อาหาร กำลัง ดื่ม วิสกี้ กับ โซดา
เขาตัดสินใจว่ามันไม่เพียงพอ,เขา ตัดสินใจ ว่า มัน ไม่ เพียงพอ
แสน็กแพดบนคีย์บอร์ดนี้ต้องได้รับการวัดระดับใหม่,สแนค แพด บน คีย์บอร์ด นี้ ต้อง ได้รับ การ วัดระดับ ใหม่
ฉันมีแค่อย่างเดียว ฉันสามารถมีได้เพียงแค่นั้น,ฉัน มี แค่ อย่าง เดียว   ฉัน สามารถ มี ได้ เพียงแค่นั้น
กลางวันง่วงนอนมากกลางคืนตาสว่าง,กลางวัน ม่วงนอน มาก   กลางคืน ตาสว่าง
คุณไม่เคยดูมีเสน่ห์เลย,คุณ ไม่ เคย ดู มีเสน่ห์ เลย
ไม่มีใครเข้ามาช่วย,ไม่ มี ใคร เข้ามา ช่วย
ฉันมองข้ามจุดนั้นไป,ฉัน มองข้าม จุด นั้น ไป
นั่นคือเหตุผลที่ฉันอยู่ที่นี่,นั่น คือ เหตุผล ที่ ฉัน อยู่ ที่นี่
มันคือเครื่องยนต์ลูกเบี้ยวแบบเดี่ยว,มัน คือ เครื่องยนต์ ลูกเบี้ยว แบบ เดียว
พวกเราต้องดูแลคุณนาย แคโรลีน ซัมเมอร์สัน ที่น่าเคารพรัก,พวกเรา ต้อง ดูแล คุณนาย แค รอ ลี น ซัมเม อร์ สัน ที่ น่าเคารพรัก
คนโง่เปล่งความคิดทั้งหมดของเขา,คนโง่ เป่นความคิด ทั้งหมด ของ เขา
ซิกมุนด์บรรยายภาพเหตุการณ์ที่เกิดขึ้นพร้อมรายละเอียดลามกอนาจารทั้งหมด,ซิก มูล บรรยาย ภาพเหตุการณ์ ที่ เกิดขึ้น พร้อม รายละเอียด ลา มก อานาจารย์ ทั้งหมด
อีกไกลแค่ไหนถึงจะถึง,อีก ไกล แค่ ไหน ถึง จะ ถึง
กรุณานำสบู่มาด้วย,กรุณา นำ สบู่ มา ด้วย
มันเป็นการดีกว่าที่จะไม่พูดอะไรเลย,มัน เป็นการ ดีกว่า ที่จะ ไม่ พูด อะไร เลย
ส่วนนี้เกี่ยวข้องกับคำเตือนของวิธีที่เสนอ,ส่วน นี้ เกี่ยวข้อง กับ คำเตือน ของ วิธีร ที่ เสนอ
ฉันสงสารเธอเหลือเกิน,ฉัน ตองสาร เธอ หลือเกิน
เธอทำอะไรอยู่,เธอ ทำ อะไร อยู่
พวกเขาเชื่อฟังเขาและไปที่นี่และที่นั่นตามคำสั่งของเขา,พวกเขา เชื่อฟัง เขา   และ ไป ที่นี่ และ ที่นั่น ตามคำสั่ง ของ เขา
เขาอ่านหนังสือด้วยความตั้งใจ,เขา อ่านหนังสือ ด้วย ความตั้งใจ
หมวกฟางใบนี้มีราคาแค่ ห้ายูโร เท่านั้น,หมวก ฟาง ใบ นี้ มีราคา แค่ ห้า ยูโร เท่านั้น
ร่างคล้ายวิญญาณปรากฏขึ้น,ร่างคล้าย วิญญาณ ปรากฏ ขึ้น
เราจะได้เห็นกัน,เรา จะ ได้ เห็น กัน
ใช้เวลาเกือบชั่วโมงในการแสดงวิดีโอนี้,ใช้เวลา เกือบ ชั่วโมง ใน การแสดง วีดีโอ นี้
ภรรยาของคุณไม่อยู่ที่นี่ตอนฉันมาถึง,ภรรยา ของ คุณ ไม่ อยู่ ที่นี่ ตอน ฉัน มาถึง
ฉันเป็นคนจริงจัง,ฉัน เป็น คน จริงจัง
ฉันไม่ชอบน้ำเสียงของเขา,ฉัน ไม่ ชอบ น้ำเสียง ของ เขา
เหตุใดถึงมาโรงเรียนสาย,เหตุ ใด ถึง มา โรงเรียน สาย
ค่อนข้างระวังสำหรับฉัน,ค่อนข้าง ระวัง สำหรับ ฉัน
คุณกำลังบอกอะไรฉัน,คุณ กำลัง บอก อะไร ฉัน
ลองดูที่ค่าเบี่ยงเบนมาตรฐาน,ลองดู ที่ ค่า เบี่ยนเบน มาตรฐาน
พวกเขาถอดสร้อยมุก กำไล และแหวนของเธอ,พวกเขา ถอด สร้อย มุก กำไล และ แหวง ของ เธอ
ต้นอ้อยเป็นพืชใบเลี้ยงเดี่ยว,ต้น อ้อย เป็น พืช ใบ เลี้ยง เดียว
ฉันอาบน้ำด้วยความมึนงง,ฉัน อาบน้ำ ด้วย ความ มึนงง
จอนเกลียดการมาสายและมักจะพาฉันออกไปด้วย,จอห์น เกล็ด การ มาสาย   และ มักจะ พา ฉัน ออก ไป ด้วย
อย่าส่งเสียงดัง,อย่า ส่ง เสียงดง
แต่ฉันขอเดาว่าคุณ,แต่ ฉัน ขอ เดา ว่า คุณ
ลองโยนเหรียญกัน,ลอง โยน เหรียญ กัน
คุณจะไปรับเธอที่ไหน,คุณ จะ ไป รับ เธอ ที่ไหน
เมื่อไหร่จะถึงบ้านสักที,เมื่อไหร่ จะ ถึง บ้าน สักที
สุนิสาและราตรีกำลังอ่านหนังสือ,สุนิศา แล ดา ตรี กำลัง อ่านหนังสือ
ว่าแต่ เครื่องมือของคุณอยู่ที่ไหน,ว่าแต่ เครื่องมือ ของ คุณ อยู่ ที่ไหน
นักเรียนเข้าใจคำพูดครูหรือไม่,นักเรียน เข้าใจ คำพูด ครู หรือไม่
เรารู้แล้วว่าเขาทำอย่างไร,เรา รู้ แล้ว ว่า เขา ทำ อย่างไร
ชีวิตซับซ้อน,ชีวิต ซับซ้อน
เขาเป็นนักฟุตบอลทีมชาติ,เขา เป็น นักฟุตบอล ทีม ชาติ
เขาปรึกษาเรื่องนาฬิกาของเขา,เขา ปรึกษา เรื่อง นาฬิกา ของ เขา
เธอลืมตาขึ้นแล้วมองไปที่เขา,เธอ ลืม ตา ขึ้น และ มอง ไป ที่ เขา
ซื้อหนึ่งแถมสี่,ซื้อ หนึ่ง แถม สี
ฉันซื้อมันมาตามที่คุณแนะนำ,ฉัน ซื้อ มัน มา ตามที่ คุณ แนะนำ
พ่อของฉันเสียชีวิตเมื่อปีที่แล้ว และท่านได้ทิ้งกิจการให้ฉันดูแลต่อ,พ่อ ของ ฉัน เสียชีวิต เมื่อ ปี ที่แล้ว   และ ท่าน ได้ ทิ้ง กิจการ ให้ ฉัน ดูแล ต่อ
หากคุณจัดการกับค่าผิดปกติเหล่านี้ซึ่งจะลดสิ่งประดิษฐ์,หาก คุณ จัดการ กับ ค่าผิดปกติ เหล่านี้ ซึ่ง จะ ลด สิ่งประดิษฐ์
ฉันชอบลูกอมช็อกโกแลต,ฉัน ชอบ ลูกอม ช็อคโกแล็ต
มันไกลจากที่นี่ไหม,มัน ไกล จาก ที่นี่ ไหม
ฉันไม่เห็นพวกเขาที่นั่น,ฉัน ไม่ เห็น พวกเขา ที่นั่น
ลูกเกดอร่อย,ลูกเกด อร่อย
เมื่อฉันเริ่มคุ้นกับการใช้สมองของฉันแล้ว ฉันจะรู้ทุกสิ่ง,เมื่อ ฉัน เริ่ม คุ้น กับ การ ใช้ สมอง ของ ฉัน แล้ว   ฉัน จะ รู้ ทุกสิ่ง
โตโยต้าตั้งศูนย์วิจัยแห่งใหม่ในโตเกียว,ด โย ตา ตั้งศูนย์วิจัย แห่ง ใหม่ ใน โตเกียว
ดึงตะขอเพื่อสลับตู้เพลง,ดึง ตะ ขอ เพื่อ สำลับ ตู้เพลง
ฉันว่าเธอตั้งครรภ์,ฉัน ว่า เธอ ตั้งครรภ์
เขาหันไปหาเขาด้วยรอยยิ้มดุร้าย,เขา หัน ไปหา เขา ด้วย รอยยิ้ม ดุร้าย
ฉันโดนกักขังอยู่ที่นี้,ฉัน โดน กลับ คัง อยู่ ที่นี้
ถ้าคุณไม่รู้ว่านั่นมันคืออะไร จงดูที่รูปภาพ,ถ้า คุณ ไม่ รู้ ว่า นั่น มัน คือ อะไร   จง ดู ที่ รูปภาพ
แสงไฟในห้องสลัวและทำให้ฉันรู้สึกง่วงนอน,แสง ไฟ ใน ห้องสลัว และ ทำให้ ฉัน รู้สึก ง่วงนอน
อินเทอร์เน็ตสะท้อนทุกคนที่ใช้มัน,อินเทอร์เน็ต จะ ท้อน ทุกคน ที่ ใช้ มัน
ฉันต้องการตัดหญ้า,ฉัน ต้องการ ตัด หญ้า
ความงามที่แท้จริงตั้งอยู่ภายใน,ความงาม ที่ แท้จริง ตั้งอยู่ ภายใน
คุณจะไปเกียวโตในเดือนมิถุนายนนี้หรือไม่,คุณ จะ ไป เกียว โต ใน เดือน มิถุนายน นี้ หรือไม่
ลำแสงตกลงบนศีรษะของคนงาน,ลำ แสง ตกลง บน ศีรษะ ของ คนงาน
มันเป็นสิ่งประดิษฐ์ของฉันเอง เพื่อเก็บเสื้อผ้าและแซนด์วิช,มัน เป็น สิ่งประดิษฐ์ ของ ฉัน เอง เพื่อ เก็บ เสื้อผ้า และ แซนด์วิช
เธอส่ายหัว,เธอ ส่าย หัว
ฉันเปิดประตูก่อน,ฉัน เปิด ประตู ก่อน
ฉันครุ่นคิดไปชั่วขณะ,ฉัน ครุ่นคิด ไป ชั่วขณะ
ฉันไม่ได้ตามคุณนะ จีเวส,ฉัน ไม่ ได้ ตาม คุณ นะ   จี เวซ
ฉันไม่คิดว่าเธอรักสามีของเธอแม้แต่น้อย,ฉัน ไม่ คิด ว่า เธอ รัก สามี ของ เธอ แม้ แต่น้อย
เป็นผู้ชายสาม และผู้หญิงหนึ่ง ทุกคนล้วนแต่งตัวประหลาด,เป็น ผู้ชาย สาม  และ ผู้หญิง หนึ่ง   ทุกคน ล้วง แต่งตัว ประหลาด
ฉันชอบพวกเขา ตอนที่พวกเขาพูด อลิซบอก,ฉัน ชอบ พวกเขา ตอนที่ พวกเขา พูด   อ ลิ ซบ อ ก
มันเป็นเรื่องที่ยากที่จะค้นหาที่อยู่จากข้อมูลและคำอธิบายอันคลุมเครือที่พวกเรามี,มัน เป็นเรื่อง ยาก ที่จะ ค้นหา ที่อยู่ จาก ข้อมูล และ คำอธิบาย อัน คุมเครือ ที่ พวกเรา มี
เขาจะต้องเลียนแบบการกระทำของใครบางคน กษัตริย์กล่าว,เขา จะ ต้อง เรียนแบบ การกระทำ ของ ใคร บางคน   กษัตริย์ กล่าว
ฉันทำในสิ่งที่ทำได้,ฉัน ทำ ใน สิ่ง ที่ ทำได้
เขาจะจุดไม้ขีดเพื่อจุดบุหรี่,เขา จะ จุด ไม่ขีด เพื่อ จุด บุหรี่
วิธีการทำแพนเค้ก,วิธีการ ทำ แพน เค้ก
ถ้าเราตรวจสอบข้อมูล เราจะพบความผิดพลาดถูกส่งมาหลายวันติดกัน,ถ้า เรา ตรวจสอบ ข้อมูล เรา จะ พบ ความผิดพลาด ถูก ส่ง มา หลาย วัน ติดกัน
ฉันดีใจมากที่ได้เจอคุณ ชาร์ลีย์,ฉัน ดีใจ มาก ที่ ได้ เจอ คุณ   ชาร์ลี ย์
ฉันชอบเธอนะไอคุง,ฉัน ชอบ เธอะ นะ ไอคุม
มารยาทของเขาก็เปลี่ยนแปลงไปเช่นเดียวกัน,มารยาท ของ เขา ก็ เปลี่ยนแปลง ไป เช่นเดียวกัน
ฉันเสียงดังกับทุกสิ่งทุกอย่าง,ฉัน เสียงดัง กับ ทุกสิ่งทุกอย่าง
เจนนี่ไปอิตาลีปีที่แล้ว,เจน นี่ ไป อิตาลี ปี ที่แล้ว
ฉันชอบอยู่ใกล้เธอ,ฉัน ชอบ อยู่ ใกล้ เธอ
ดอทรีโชว์กลการนับด้วยการพาค็อกกี้ไปด้วย,ดอ ์ ท รี่ โชว์ กล การ นับ ด้วย การพา คอกกี้ ไป ด้วย
พื้นที่เก็บข้อมูลไม่เพียงพอ,พื้น ที่เก็บ ข้อมูล ไม้ เพียงพอ
คุณเข้าใจไหม,คุณ เข้าใจ ไหม
เป็นความคิดดี ขอบคุณนะ,เป็น ความคิด ที่ ดี ขอบคุณ นะ
ถ้าคุณอยากได้ตัวตัดคำที่แม่นยำที่สุด,ถ้า คุณ อยากได้ ตัว ตัด คำ ที่ แม่นยำ ที่สุด
ฉันมีฐานะทางการเงินที่ดีขึ้นกว่าปีที่แล้ว,ฉัน มี ฐานะ ทางการเงิน ที่ ดีขึ้น กว่า ปี ที่แล้ว
แล้ว ฝีหนองพวกนั้นละ,แล้ว  ฝี หนอง พวก งั้น ล่ะ
นางวูดคอร์ทจะไม่ยอมให้ฉันเปลี่ยน,นาง วูด คอร์ท จะ ไม่ ยอมให้ ฉัน เปลี่ยน
เจ้านกพิราบได้ตะโกนออกมาว่า คนทรยศ,เจ้า นก พิราบ ได้ ตะโกน หอกมา ว่า   คนทรยศ
เราน่าจะสามารถโน้มน้าวให้แมธธิวกับรอบบี้มาช่วยพวกเราได้,เรา น่าจะ สามารถ โน้มน้าว ให้ แมท ทิว กับ รอบ บี้ มา ช่วย พวกเรา ได้
คั่วกะทิอย่างพิถีพิถันไม่ให้กะทิไหม้หรือเป็นก้อน,คั่ว กะทิ อย่าง พิถีพิถัน   ไม่ ให้ กะทิ ไหม้ หรือ เป็น ก้อน
ความกตัญญูเป็นสมบัติของผู้มีจิตใจงาม,ความกตัญญู เป็น สมบัติ ของ ผู้ มี จิตใจ งาม
ปฏิกิริยาของฉันขณะนี้มีความคล้ายกันมาก,ปฏิกิริยา ของ ฉัน ขณะนี้ มี ความคล้าย กัน มาก
ฉันเชื่อว่าเต่าทองมีหลายหมื่นสปีชี่ส์ที่แตกต่างกัน,ฉัน เชื่อ ว่า เต่าทอง มี หลาย หมื่น สปี ชีส ที่ แตก ต่างกัน
เมื่อไหร่ฤดูหนาวจะถูกประกาศอย่างเป็นทางการ,เมื่อไหร่ ฤดูหนาว จะ ถูก ประกาศ อย่าง เป็นทางการ
การอ่านระหว่างบรรทัดต้องมีความเข้าใจ,การ อ่าน ระหว่าง บรรทัด ต้อง มี ความเข้าใจ
ฉันรู้สึกรำคาญมากกว่านิดหน่อย,ฉัน รู้สึก รำคาญ มากกว่า นิดหน่อย
ฉันครุ่นคิดเพิ่มเติม,ฉัน ครุ่นคิด เพิ่มเติม
ดังนั้นเราจึงสามารถพักผ่อนได้,ดังนั้น เรา จึง สามารถ พักผ่อน ได้
คุณเคยไปโรงหนังมาก่อนไหม,คุณ เคย ไป โรงหนัง มา ก่อน ไหม
ก็บอกแล้วไง,ก็ บอก แล้ว ไง
สิ่งสุดท้ายที่ฉันเคยได้รับจากเขา,สิ่ง สุดท้าย ที่ ฉัน เคย ได้รับ จาก เขา
เราพบว่าบุรุษไปรษณีย์ออกจะระแวงสุนัขลาบราดอร์ของเร่,เรา พบ ว่า บุรุษไปรษณีย์ ออกจาก ระแวน สุนัข ราบราดอร์ ของ เร่ต์
ฉันต้องการซื้อผ้าอนามัยมากกว่านี้ เธอกล่าว,ฉัน ต้องการ ซื้อ ผ้า อนามัย มากกว่า นี้   เธอ กล่าว
เมื่อเขาทำผิดก็ต้องยอมรับโทษ,เมื่อ เขา ทำผิด ก็ ต้อง ยอมรับโทษ
คุณพูดอะไร,คุณ พูด อะไร
ฉันพร้อมที่จะทำมัน,ฉัน พร้อม ที่จะ ทำ มัน
ก็ไม่เป็นไร,ก็ ไม่เป็นไร
ไม่ใช่อันไหนเลยในพวกนี้,ไม่ ใช่ อัน ไหน เลย ใน พวก นี้
เจ้าหน้าที่ของรัฐบาลได้สละอำนาจอธิปไตยทางการคลังเมื่อคืนที่ผ่านมา,เจ้าหน้าที่ของ รัฐ บาล ได้ สลัก อำนาจ อธิปไตย ทาง การคลัง เมื่อคืน ที่ผ่านมา
โอ้ย แกนี่แข็งเป็นหินเลย,โอ๊ย   แก นี่ แขน เป็น หิน เลย
นี่มันหมายความว่ายังไง,นี่ มัน หมายความว่า ยังไง
เพลงสวดสรรเสริญสำหรับวันคริสต์มาส,เพลง สวดสรรเสริญ สำหรับ วัน คริสต์มาส
น้ำตาลในเลือดสูงไหม,น้ำตาล ใม เลือด สูง ไหม
เว็บไซต์นี้มีแอพให้ใช่มั้ย,เว็บไซต์ นี้ มี แอบ ให้ ใช่ มั้ย
ฉันสั่งซื้อรูปที่ระลึก,ฉัน สั่งซื้อ รูป ที่ระลึก
คนอื่นส่ายหัว,คนอื่น ส่าย หัว
ไอแซกนิวตันนั้นเป็นอัจฉริยะอย่างไม่ต้องสงสัย,ไอแซค   นิวตัน นั้น เป็น อัจฉริยะ อย่าง ไม่ต้องสงสัย
