sentence,pred_sentence,sentence_tok,pred_sentence_tok,sentence_deepcut,pred_sentence_deepcut
มันทำให้ฉันทุกข์ใจตั้งแต่นั้นมา,มันทำให้ฉันทุกข์ใจตั้งแต่นั้นมา,มัน ทำให้ ฉัน ทุกข์ใจ ตั้งแต่นั้นมา,มัน ทำให้ ฉัน ทุกข์ใจ ตั้งแต่นั้นมา,มัน ทำ ให้ ฉัน ทุกข์ใจ ตั้งแต่ นั้น มา,มัน ทำ ให้ ฉัน ทุกข์ใจ ตั้งแต่ นั้น มา
คนเดินเท้ากำลังยืนอยู่บนทางเท้าปูด้วยหินกรวด,คนเดินเท้ากำลังยืนอยู่บนทางเท้าปูด้วยหินกรวด,คนเดินเท้า กำลัง ยืน อยู่ บน ทางเท้า ปู ด้วย หิน กรวด,คนเดินเท้า กำลัง ยืน อยู่ บน ทางเท้า ปู ด้วย หิน กรวด,คน เดิน เท้า กำลัง ยืน อยู่ บน ทาง เท้า ปู ด้วย หิน กรวด,คน เดิน เท้า กำลัง ยืน อยู่ บน ทาง เท้า ปู ด้วย หิน กรวด
พรุ่งนี้ฝนจะตกไหม,พรุ่งนี้ฝนจะตกไหม,พรุ่งนี้ ฝน จะ ตก ไหม,พรุ่งนี้ ฝน จะ ตก ไหม,พรุ่ง นี้ ฝน จะ ตก ไหม,พรุ่ง นี้ ฝน จะ ตก ไหม
เขาเดินเล่นในสวนสาธารณะประจำจังหวัด,เขาเดินเล่นในสวนสาธารณะประจำจังหวัด,เขา เดินเล่น ใน สวนสาธารณะ ประจำจังหวัด,เขา เดินเล่น ใน สวนสาธารณะ ประจำจังหวัด,เขา เดิน เล่น ใน สวน สาธารณะ ประจำ จังหวัด,เขา เดิน เล่น ใน สวน สาธารณะ ประจำ จังหวัด
ยิวยิตสูและยูโดเป็นกีฬาที่ใช้มือจับล็อกลงพื้น,นิวอีสสูและยูโดเป็นกีฬาที่ใช้มือจับล็อคลงพื้น,ยิว ยิต สู และ ยูโด เป็น กีฬา ที่ ใช้ มือจับ ล็อก ลงพื้น,นิว อีส สู และ ยูโด เป็น กีฬา ที่ ใช้ มือจับ ล็อค ลงพื้น,ยิวยิตสู และ ยูโด เป็น กีฬา ที่ ใช้ มือ จับ ล็อก ลง พื้น,นิวอีสสู และ ยูโด เป็น กีฬา ที่ ใช้ มือ จับ ล็อค ลง พื้น
เขาไม่สามารถเข้าใจถึงคุณค่าของภาพถ่าย,เขาไม่สามารถเข้าใจถึงคุณค่าของภาพถ่าย,เขา ไม่ สามารถ เข้า ใจถึง คุณค่า ของ ภาพถ่าย,เขา ไม่ สามารถ เข้า ใจถึง คุณค่า ของ ภาพถ่าย,เขา ไม่ สามารถ เข้าใจ ถึง คุณค่า ของ ภาพ ถ่าย,เขา ไม่ สามารถ เข้าใจ ถึง คุณค่า ของ ภาพ ถ่าย
ฉันรู้สึกมั่นใจว่าทักษะของฉันนั้นสอดคล้องกับลักษณะของงาน,ฉันรู้สึกมั่นใจว่าทักษะของฉันนั้นสอดคล้องกับลักษณะของงาน,ฉัน รู้สึก มั่นใจ ว่า ทักษะ ของ ฉันนั้น สอดคล้อง กับ ลักษณะ ของ งาน,ฉัน รู้สึก มั่นใจ ว่า ทักษะ ของ ฉันนั้น สอดคล้อง กับ ลักษณะ ของ งาน,ฉัน รู้สึก มั่นใจ ว่า ทักษะ ของ ฉัน นั้น สอดคล้อง กับ ลักษณะ ของ งาน,ฉัน รู้สึก มั่นใจ ว่า ทักษะ ของ ฉัน นั้น สอดคล้อง กับ ลักษณะ ของ งาน
เมื่อคุณพบข้อผิดพลาดในซอฟต์แวร์โปรดรายงาน,เมื่อคุณพบข้อผิดพลาดในซอฟต์แวร์โปรดรายงาน,เมื่อ คุณ พบ ข้อผิดพลาด ใน ซอฟต์แวร์ โปรด รายงาน,เมื่อ คุณ พบ ข้อผิดพลาด ใน ซอฟต์แวร์ โปรด รายงาน,เมื่อ คุณ พบ ข้อ ผิดพลาด ใน ซอฟต์แวร์ โปรด รายงาน,เมื่อ คุณ พบ ข้อ ผิดพลาด ใน ซอฟต์แวร์ โปรด รายงาน
มันเหมือนเดิมเสมอ,เหมือนเดิมเสมอ,มัน เหมือนเดิม เสมอ,เหมือนเดิม เสมอ,มัน เหมือน เดิม เสมอ,เหมือน เดิม เสมอ
เธอยังคงยืนอยู่ในห้องโถง,เธอยังคงยืนอยู่ในห้องทม,เธอ ยังคง ยืน อยู่ ใน ห้องโถง,เธอ ยังคง ยืน อยู่ ใน ห้อง ทม,เธอ ยังคง ยืน อยู่ ใน ห้อง โถง,เธอ ยังคง ยืน อยู่ ใน ห้อง ทม
คุณต้องการอะไรที่นี่,คุณต้องการอะไรที่นี่,คุณ ต้องการ อะไร ที่นี่,คุณ ต้องการ อะไร ที่นี่,คุณ ต้องการ อะไร ที่ นี่,คุณ ต้องการ อะไร ที่ นี่
โลกออนไลน์มีทั้งข่าวจริงและข่าวปลอม,โลกออนไลน์มีทั้งข่าวจริงและข่าวปลอม,โลก ออนไลน์ มี ทั้ง ข่าว จริง และ ข่าว ปลอม,โลก ออนไลน์ มี ทั้ง ข่าว จริง และ ข่าว ปลอม,โลก ออนไลน์ มี ทั้ง ข่าว จริง และ ข่าวปลอม,โลก ออนไลน์ มี ทั้ง ข่าว จริง และ ข่าวปลอม
ประตูเปิดอยู่,ประตูเปิดอยู่,ประตู เปิด อยู่,ประตู เปิด อยู่,ประตู เปิด อยู่,ประตู เปิด อยู่
กลุ่มจากเบลเยียมวางแผนที่จะเดินป่าในวันพุธ,กลุ่มจากเบลเยียมวางแผนที่จะเดินป่าในวันพุธ,กลุ่ม จาก เบลเยียม วางแผน ที่จะ เดินป่า ใน วัน พุธ,กลุ่ม จาก เบลเยียม วางแผน ที่จะ เดินป่า ใน วัน พุธ,กลุ่ม จาก เบลเยียม วาง แผน ที่ จะ เดิน ป่า ใน วัน พุธ,กลุ่ม จาก เบลเยียม วาง แผน ที่ จะ เดิน ป่า ใน วัน พุธ
ดูสิจอห์นฉันไม่สามารถซัพพอร์ตได้,ดูสิถอนจนไม่สามารถซัพพอร์ตได้,ดู สิ จอห์น ฉัน ไม่ สามารถ ซัพพอร์ต ได้,ดู สิ ถอน จน ไม่ สามารถ ซัพพอร์ต ได้,ดู สิ จอห์นฉัน ไม่ สามารถ ซัพพอร์ต ได้,ดู สิ ถอน จน ไม่ สามารถ ซัพพอร์ต ได้
มันสายเกินไปแล้วที่จะปราถนาสิ่งนั้น,มันสายเกินไปแล้วที่จะปรารถนาสิ่งนั้น,มัน สาย เกินไป แล้ว ที่จะ ป รา ถ นา สิ่ง นั้น,มัน สาย เกินไป แล้ว ที่จะ ปรารถนา สิ่ง นั้น,มัน สาย เกิน ไป แล้ว ที่ จะ ปราถนา สิ่ง นั้น,มัน สาย เกิน ไป แล้ว ที่ จะ ปรารถนา สิ่ง นั้น
ฉันจะต้องตาย,ชั้นจะต้องตาย,ฉัน จะ ต้อง ตาย,ชั้น จะ ต้อง ตาย,ฉัน จะ ต้อง ตาย,ชั้น จะ ต้อง ตาย
ดูข้อมูลหุ้นแอดวานซ์,ดูข้อมูลหุ้นแอดวานซ์,ดู ข้อมูล หุ้น แอดวานซ์,ดู ข้อมูล หุ้น แอดวานซ์,ดู ข้อมูล หุ้น แอดวานซ์,ดู ข้อมูล หุ้น แอดวานซ์
เธอพูดว่าหมูหรือหมู่นะแมวถาม,เธอพูดว่าหมูและหมูนะแมวถาม,เธอ พูดว่า หมู หรือ หมู่ นะ แมว ถาม,เธอ พูดว่า หมู และ หมู นะ แมว ถาม,เธอ พูด ว่า หมู หรือ หมู่ นะ แมว ถาม,เธอ พูด ว่า หมู และ หมู นะ แมว ถาม
นายกรัฐมนตรีดูเหมือนจะร้องเพลงกับเลขานุการของเธอในสวนหลังบ้าน,นายกรัฐมนตรีดูเหมือนจะร้องเพลงกับเลขานุการของเธอในสวนหลังบ้าน,นายกรัฐมนตรี ดูเหมือน จะ ร้องเพลง กับ เลขานุการ ของ เธอ ใน สวน หลังบ้าน,นายกรัฐมนตรี ดูเหมือน จะ ร้องเพลง กับ เลขานุการ ของ เธอ ใน สวน หลังบ้าน,นายก รัฐมนตรี ดู เหมือน จะ ร้อง เพลง กับ เลขานุการ ของ เธอ ใน สวน หลัง บ้าน,นายก รัฐมนตรี ดู เหมือน จะ ร้อง เพลง กับ เลขานุการ ของ เธอ ใน สวน หลัง บ้าน
สามารถสร้างรายได้ได้เป็นอย่างดี,สามารถสร้างรายได้ได้เป็นอย่างดี,สามารถ สร้าง รายได้ ได้ เป็น อย่าง ดี,สามารถ สร้าง รายได้ ได้ เป็น อย่าง ดี,สามารถ สร้าง ราย ได้ ได้ เป็น อย่าง ดี,สามารถ สร้าง ราย ได้ ได้ เป็น อย่าง ดี
เครื่องบินลำแรกบินน้อยกว่าหนึ่งศตวรรษมาแล้ว,เครื่องบินลำแรกบินน้อยกว่าหนึ่งศตวรรษมาแล้ว,เครื่องบิน ลำ แรก บิน น้อยกว่า หนึ่ง ศตวรรษ มา แล้ว,เครื่องบิน ลำ แรก บิน น้อยกว่า หนึ่ง ศตวรรษ มา แล้ว,เครื่อง บิน ลำ แรก บิน น้อย กว่า หนึ่ง ศตวรรษ มา แล้ว,เครื่อง บิน ลำ แรก บิน น้อย กว่า หนึ่ง ศตวรรษ มา แล้ว
อนุญาตให้ฉันบีบคอคุณ,อนุญาตให้ฉันบีบคอคุณ,อนุญาต ให้ ฉัน บีบ คอ คุณ,อนุญาต ให้ ฉัน บีบ คอ คุณ,อนุญาต ให้ ฉัน บีบคอ คุณ,อนุญาต ให้ ฉัน บีบคอ คุณ
เดี๋ยวนี้จะหาฤๅษีดัดตนได้ที่ไหนในป่าอิสิปตนมฤคทายวันหรือไง,เดี๋ยวนี้จะหาฤาษีแต่ตนได้ที่ไหนในป่าอิสิปะตะณะมฤคาถ้าหย่อนหรือไง,เดี๋ยวนี้ จะ หา ฤๅษี ดัดตน ได้ ที่ไหน ใน ป่า อิสิ ปตน มฤคทายวัน หรือไง,เดี๋ยวนี้ จะ หา ฤาษี แต่ ตน ได้ ที่ไหน ใน ป่า อิสิ ปะ ตะ ณะมฤ คา ถ้า หย่อน หรือไง,เดี๋ยวนี้ จะ หา ฤๅษีดัด ตน ได้ ที่ ไหน ใน ป่า อิสิปตนมฤคทายวัน หรือ ไง,เดี๋ยวนี้ จะ หา ฤาษี แต่ ตน ได้ ที่ ไหน ใน ป่า อิสิปะตะณะ มฤคา ถ้า หย่อน หรือ ไง
คนกวาดถนนผู้หญิงทำงานอย่างคล่องแคล่ว,คนกวาดถนนผู้หญิงทำงานอย่างคล่องแคล่ว,คนกวาดถนน ผู้หญิง ทำงาน อย่าง คล่องแคล่ว,คนกวาดถนน ผู้หญิง ทำงาน อย่าง คล่องแคล่ว,คน กวาด ถนน ผู้ หญิง ทำ งาน อย่าง คล่องแคล่ว,คน กวาด ถนน ผู้ หญิง ทำ งาน อย่าง คล่องแคล่ว
กรุงโรมไม่ได้สร้างเสร็จในหนึ่งวัน,กรุงโรมไม่ได้สร้างเสร็จในหนึ่งวัน,กรุง โรม ไม่ ได้ สร้าง เสร็จ ใน หนึ่ง วัน,กรุง โรม ไม่ ได้ สร้าง เสร็จ ใน หนึ่ง วัน,กรุงโรม ไม่ ได้ สร้าง เสร็จ ใน หนึ่ง วัน,กรุงโรม ไม่ ได้ สร้าง เสร็จ ใน หนึ่ง วัน
รับไว้เถอะ,เราไปเถอะ,รับ ไว้ เถอะ,เรา ไป เถอะ,รับ ไว้ เถอะ,เรา ไป เถอะ
ผมดีใจกับสิ่งนี้นะโดยไม่แสดงอาการออกมา,ผมดีใจกับสิ่งนี้นะโดยไม่แสดงอาการออกมา,ผม ดีใจ กับ สิ่ง นี้ นะ โดย ไม่ แสดงอาการ ออกมา,ผม ดีใจ กับ สิ่ง นี้ นะ โดย ไม่ แสดงอาการ ออกมา,ผม ดีใจ กับ สิ่ง นี้ นะ โดย ไม่ แสดง อาการ ออก มา,ผม ดีใจ กับ สิ่ง นี้ นะ โดย ไม่ แสดง อาการ ออก มา
เด็กรีบไปโรงพยาบาลหลังจากกลืนหมวก,เด็กรีบไปโรงพยาบาลหลังจากกลืนหมวก,เด็ก รีบ ไป โรงพยาบาล หลังจาก กลืน หมวก,เด็ก รีบ ไป โรงพยาบาล หลังจาก กลืน หมวก,เด็ก รีบ ไป โรง พยาบาล หลัง จาก กลืน หมวก,เด็ก รีบ ไป โรง พยาบาล หลัง จาก กลืน หมวก
ดนตรีนั่นช่างจับใจ,ดนตรีนั้นช่องจับใจ,ดนตรี นั่น ช่าง จับใจ,ดนตรี นั้น ช่อง จับใจ,ดนตรี นั่น ช่าง จับใจ,ดนตรี นั้น ช่อง จับใจ
เขาทำไวน์หกแต่คงไม่ยอมรับหรอก,ขอทำไวน์หกแต่คงไม่ยอมรับหรอก,เขา ทำ ไวน์ หก แต่ คง ไม่ ยอมรับ หรอก,ขอ ทำ ไวน์ หก แต่ คง ไม่ ยอมรับ หรอก,เขา ทำ ไวน์ หก แต่ คง ไม่ ยอม รับ หรอก,ขอ ทำ ไวน์ หก แต่ คง ไม่ ยอม รับ หรอก
ใช่มันน่าจะยาก,ชัยนาทยาก,ใช่ มัน น่าจะ ยาก,ชัยนาท ยาก,ใช่ มัน น่า จะ ยาก,ชัยนาท ยาก
ดูเหมือนจะเป็นนิ้วที่แปลกของพระเจ้า,ดูเหมือนจะเป็นนิ่วที่แปลกของพระเจ้า,ดูเหมือน จะ เป็น นิ้ว ที่ แปลก ของ พระเจ้า,ดูเหมือน จะ เป็น นิ่ว ที่ แปลก ของ พระเจ้า,ดู เหมือน จะ เป็น นิ้ว ที่ แปลก ของ พระเจ้า,ดู เหมือน จะ เป็น นิ่ว ที่ แปลก ของ พระเจ้า
พวกเราจะกลายเป็นอะไร,พวกเราจะกลายเป็นอะไร,พวกเรา จะ กลายเป็น อะไร,พวกเรา จะ กลายเป็น อะไร,พวก เรา จะ กลาย เป็น อะไร,พวก เรา จะ กลาย เป็น อะไร
เห็นได้ชัดว่านี่คือรสชาติของชัยชนะ,เห็นได้ชัดว่านี่คือรสชาติของชัยชนะ,เห็นได้ชัด ว่า นี่ คือ รสชาติ ของ ชัยชนะ,เห็นได้ชัด ว่า นี่ คือ รสชาติ ของ ชัยชนะ,เห็น ได้ ชัด ว่า นี่ คือ รสชาติ ของ ชัยชนะ,เห็น ได้ ชัด ว่า นี่ คือ รสชาติ ของ ชัยชนะ
บางทีเราควรเข้าร่วมชมรมไวน์,บางทีเราควรเข้าร่วมชมรมวาย,บางที เรา ควร เข้าร่วม ชมรม ไวน์,บางที เรา ควร เข้าร่วม ชมรม วาย,บาง ที เรา ควร เข้า ร่วม ชมรมไวน์,บาง ที เรา ควร เข้า ร่วม ชมรมวาย
ทำไมคุณต้องเล่าเรื่องราวของฉันให้กับคนหลายคนได้ฟังกัน,ทำไมคุณต้องเล่าเรื่องราวของฉันให้กับคนหลายคนได้ฟังกัน,ทำไม คุณ ต้อง เล่า เรื่องราว ของ ฉัน ให้ กับ คน หลาย คน ได้ ฟัง กัน,ทำไม คุณ ต้อง เล่า เรื่องราว ของ ฉัน ให้ กับ คน หลาย คน ได้ ฟัง กัน,ทำไม คุณ ต้อง เล่า เรื่องราว ของ ฉัน ให้ กับ คน หลาย คน ได้ ฟัง กัน,ทำไม คุณ ต้อง เล่า เรื่องราว ของ ฉัน ให้ กับ คน หลาย คน ได้ ฟัง กัน
หัวใจของเขาคือการอยู่อย่างพอเพียง,หัวใจของเขาคือการอยู่อย่างพอเพียง,หัวใจ ของ เขา คือ การ อยู่ อย่าง พอเพียง,หัวใจ ของ เขา คือ การ อยู่ อย่าง พอเพียง,หัวใจ ของ เขา คือ การ อยู่ อย่าง พอเพียง,หัวใจ ของ เขา คือ การ อยู่ อย่าง พอเพียง
สองอันเท่าไหร่,สองอันเท่าไหร่,สอง อัน เท่าไหร่,สอง อัน เท่าไหร่,สอง อัน เท่า ไหร่,สอง อัน เท่า ไหร่
ฉันทำสิ่งนั้นไม่ได้,ฉันทำสิ่งนั้นไม่ได้,ฉัน ทำ สิ่ง นั้น ไม่ ได้,ฉัน ทำ สิ่ง นั้น ไม่ ได้,ฉัน ทำ สิ่ง นั้น ไม่ ได้,ฉัน ทำ สิ่ง นั้น ไม่ ได้
มะเขือนี้เหมือนกับมะเขือยาว,เมื่อคืนนี้เหมือนกับมะเขือยาว,มะเขือ นี้ เหมือนกับ มะเขือ ยาว,เมื่อคืนนี้ เหมือนกับ มะเขือ ยาว,มะเขือ นี้ เหมือน กับ มะเขือยาว,เมื่อ คืน นี้ เหมือน กับ มะเขือยาว
ขบวนแห่เฉลิมฉลองนี้ถูดจัดขึ้นมาแล้วกี่ครั้งในเมืองนี้,ขบวนแห่เฉลิมฉลองนี้ถูกจัดขึ้นมาแล้วกี่ครั้งในเมืองนี้,ขบวนแห่ เฉลิมฉลอง นี้ ถู ด จัด ขึ้น มา แล้ว กี่ ครั้ง ใน เมือง นี้,ขบวนแห่ เฉลิมฉลอง นี้ ถูก จัด ขึ้น มา แล้ว กี่ ครั้ง ใน เมือง นี้,ขบวน แห่ เฉลิมฉลอง นี้ ถูด จัด ขึ้น มา แล้ว กี่ ครั้ง ใน เมือง นี้,ขบวน แห่ เฉลิมฉลอง นี้ ถูก จัด ขึ้น มา แล้ว กี่ ครั้ง ใน เมือง นี้
คุณกำลังพูดเรื่องอะไร,คุณกำลังพูดเรื่องอะไร,คุณ กำลัง พูด เรื่อง อะไร,คุณ กำลัง พูด เรื่อง อะไร,คุณ กำลัง พูด เรื่อง อะไร,คุณ กำลัง พูด เรื่อง อะไร
เบอร์ตี้ปล่อยฉันไปแต่ฉันไม่ได้จับคุณ,เบอร์ตี้ปล่อยฉันไป,เบอร์ ตี้ ปล่อย ฉัน ไป แต่ ฉัน ไม่ ได้ จับ คุณ,เบอร์ ตี้ ปล่อย ฉัน ไป,เบอร์ตี้ ปล่อย ฉัน ไป แต่ ฉัน ไม่ ได้ จับ คุณ,เบอร์ตี้ ปล่อย ฉัน ไป
คุณใช้อีเมล์ของลูกค้าอันไหน,คุณใช้อีเมลของลูกค้าอันไหน,คุณ ใช้ อีเมล์ ของ ลูกค้า อัน ไหน,คุณ ใช้ อีเมล ของ ลูกค้า อัน ไหน,คุณ ใช้ อีเมล์ ของ ลูกค้า อัน ไหน,คุณ ใช้ อีเมล ของ ลูกค้า อัน ไหน
มันไปได้ด้วยดีไม่มีคำถามสำหรับเรื่องนั้น,มันไปได้ด้วยดีไม่มีคำถามสำหรับเรื่องนั้น,มัน ไป ได้ ด้วยดี ไม่ มี คำถาม สำหรับ เรื่อง นั้น,มัน ไป ได้ ด้วยดี ไม่ มี คำถาม สำหรับ เรื่อง นั้น,มัน ไป ได้ ด้วย ดี ไม่ มี คำ ถาม สำหรับ เรื่อง นั้น,มัน ไป ได้ ด้วย ดี ไม่ มี คำ ถาม สำหรับ เรื่อง นั้น
พรุ่งนี้จำเป็นต้องมีทนายความหรือไม่ครับ,พรุ่งนี้จำเป็นต้องมีทนายความหรือไม่ครับ,พรุ่งนี้ จำเป็นต้อง มี ทนายความ หรือไม่ ครับ,พรุ่งนี้ จำเป็นต้อง มี ทนายความ หรือไม่ ครับ,พรุ่ง นี้ จำเป็น ต้อง มี ทนายความ หรือ ไม่ ครับ,พรุ่ง นี้ จำเป็น ต้อง มี ทนายความ หรือ ไม่ ครับ
พ่อของฉันเป็นชาวนา,พ่อของฉันเป็นชาวนา,พ่อ ของ ฉัน เป็น ชาวนา,พ่อ ของ ฉัน เป็น ชาวนา,พ่อ ของ ฉัน เป็น ชาว นา,พ่อ ของ ฉัน เป็น ชาว นา
เรื่องของรสนิยมไม่มีหลักตายตัว,เรื่องของรสนิยมไม่มีหลักตายตัว,เรื่อง ของ รสนิยม ไม่ มี หลัก ตายตัว,เรื่อง ของ รสนิยม ไม่ มี หลัก ตายตัว,เรื่อง ของ รสนิยม ไม่ มี หลัก ตาย ตัว,เรื่อง ของ รสนิยม ไม่ มี หลัก ตาย ตัว
เปลี่ยนล็อบสเตอร์อีกแล้วเขาตะโกนอย่างสุดเสียง,เพลียล๊อบสเตอร์อีกแล้ว,เปลี่ยน ล็อบส เต อร ์ อีกแล้ว เขา ตะโกน อย่าง สุดเสียง,เพลีย ล๊อบส เต อร ์ อีกแล้ว,เปลี่ยน ล็อบสเตอร์ อีก แล้ว เขา ตะโกน อย่าง สุด เสียง,เพลียล๊อบสเตอร์ อีก แล้ว
ตอนนี้สายตึงมาก,ตอนนี้สายตึงมาก,ตอนนี้ สาย ตึง มาก,ตอนนี้ สาย ตึง มาก,ตอน นี้ สาย ตึง มาก,ตอน นี้ สาย ตึง มาก
ฉันหวังว่าคุณจะตั้งใจรักษาสัญญาของคุณนะ,ฉันหวังว่าคุณจะตั้งใจรักษาสัญญาของคุณนะ,ฉัน หวัง ว่า คุณ จะ ตั้งใจ รักษา สัญญา ของ คุณ นะ,ฉัน หวัง ว่า คุณ จะ ตั้งใจ รักษา สัญญา ของ คุณ นะ,ฉัน หวัง ว่า คุณ จะ ตั้งใจ รักษา สัญญา ของ คุณ นะ,ฉัน หวัง ว่า คุณ จะ ตั้งใจ รักษา สัญญา ของ คุณ นะ
มีอะไรที่ฉันพอช่วยได้ไหม,มีอะไรที่ฉันพอช่วยได้มั้ย,มี อะไร ที่ ฉัน พอ ช่วย ได้ ไหม,มี อะไร ที่ ฉัน พอ ช่วย ได้ มั้ย,มี อะไร ที่ ฉัน พอ ช่วย ได้ ไหม,มี อะไร ที่ ฉัน พอ ช่วย ได้ มั้ย
ฉันถือมันด้วยมือที่ว่างเปล่า,ฉันถือมั่นด้วยมือที่ว่างเปล่า,ฉัน ถือ มัน ด้วยมือ ที่ว่างเปล่า,ฉัน ถือ มั่น ด้วยมือ ที่ว่างเปล่า,ฉัน ถือ มัน ด้วย มือ ที่ ว่างเปล่า,ฉัน ถือ มั่น ด้วย มือ ที่ ว่างเปล่า
มันเป็นถนนลาดยาวที่ไม่มีทางเลี้ยว,มันเป็นถนนลาดยาวที่ไม่มีทางเลี้ยว,มัน เป็น ถนน ลาด ยาว ที่ ไม่ มีทาง เลี้ยว,มัน เป็น ถนน ลาด ยาว ที่ ไม่ มีทาง เลี้ยว,มัน เป็น ถนน ลาด ยาว ที่ ไม่ มี ทาง เลี้ยว,มัน เป็น ถนน ลาด ยาว ที่ ไม่ มี ทาง เลี้ยว
ฉันคิดว่าฉันก็อาจจะเข้าไปข้างในทันทีเช่นกันพูดพลางก้าวเข้าไปข้างใน,ฉันคิดว่าฉันก็อาจจะเข้าไปข้างในทันทีเช่นกัน,ฉัน คิด ว่า ฉัน ก็ อาจจะ เข้าไป ข้าง ในทันที เช่นกัน พูด พลาง ก้าว เข้าไป ข้างใน,ฉัน คิด ว่า ฉัน ก็ อาจจะ เข้าไป ข้าง ในทันที เช่นกัน,ฉัน คิด ว่า ฉัน ก็ อาจ จะ เข้า ไป ข้าง ใน ทันที เช่น กัน พูด พลาง ก้าว เข้า ไป ข้าง ใน,ฉัน คิด ว่า ฉัน ก็ อาจ จะ เข้า ไป ข้าง ใน ทันที เช่น กัน
นอนลงไปและก็เล่าให้ฉันฟังสิ,นอนลงไปแล้วก็เล่าให้ฉันฟังซิ,นอนลง ไป และ ก็ เล่า ให้ ฉัน ฟัง สิ,นอนลง ไป แล้วก็ เล่า ให้ ฉัน ฟัง ซิ,นอน ลง ไป และ ก็ เล่า ให้ ฉัน ฟัง สิ,นอน ลง ไป แล้ว ก็ เล่า ให้ ฉัน ฟัง ซิ
ต้องทำอะไรให้เสร็จ,ต้องทำอะไรให้เสร็จ,ต้อง ทำ อะไร ให้ เสร็จ,ต้อง ทำ อะไร ให้ เสร็จ,ต้อง ทำ อะไร ให้ เสร็จ,ต้อง ทำ อะไร ให้ เสร็จ
เขากล่าวทักทายตอนเช้า,เขากล่าวทักทายตอนเช้า,เขา กล่าว ทักทาย ตอนเช้า,เขา กล่าว ทักทาย ตอนเช้า,เขา กล่าว ทักทาย ตอน เช้า,เขา กล่าว ทักทาย ตอน เช้า
กรุณาเสนอคะแนนและมุมมองของคุณ,กรุณาเสนอคะแนนและมุมมองของคุณ,กรุณา เสนอ คะแนน และ มุมมอง ของ คุณ,กรุณา เสนอ คะแนน และ มุมมอง ของ คุณ,กรุณา เสนอ คะแนน และ มุมมอง ของ คุณ,กรุณา เสนอ คะแนน และ มุมมอง ของ คุณ
เขาพูดอย่างกังวลใจว่ามันแทบจะไม่เพียงพอ,ก็พูดอย่างกังวลใจว่ามันแทบจะไม่เพียงพอ,เขา พูด อย่าง กังวลใจ ว่า มัน แทบจะ ไม่ เพียงพอ,ก็ พูด อย่าง กังวลใจ ว่า มัน แทบจะ ไม่ เพียงพอ,เขา พูด อย่าง กังวลใจ ว่า มัน แทบ จะ ไม่ เพียงพอ,ก็ พูด อย่าง กังวลใจ ว่า มัน แทบ จะ ไม่ เพียงพอ
ความนับถือตนเองที่ต่ำของเธอน่าสงสาร,ความนับถือตนเองที่ต่ำของเธอน่าสงสาร,ความนับถือ ตนเอง ที่ต่ำ ของ เธอ น่าสงสาร,ความนับถือ ตนเอง ที่ต่ำ ของ เธอ น่าสงสาร,ความ นับถือ ตน เอง ที่ ต่ำ ของ เธอ น่า สงสาร,ความ นับถือ ตน เอง ที่ ต่ำ ของ เธอ น่า สงสาร
พวกเขาอยู่ในห้องรับประทานอาหารกำลังดื่มวิสกี้กับโซดา,พวกเขาอยู่ในห้องรับประทานอาหารกำลังดื่มวิกกี้กับโซดา,พวกเขา อยู่ ใน ห้อง รับประทาน อาหาร กำลัง ดื่ม วิสกี้ กับ โซดา,พวกเขา อยู่ ใน ห้อง รับประทาน อาหาร กำลัง ดื่ม วิก กี้ กับ โซดา,พวก เขา อยู่ ใน ห้อง รับประทาน อาหาร กำลัง ดื่ม วิสกี้ กับ โซดา,พวก เขา อยู่ ใน ห้อง รับประทาน อาหาร กำลัง ดื่ม วิกกี้ กับ โซดา
เขาตัดสินใจว่ามันไม่เพียงพอ,ขอตัดสินใจว่ามันไม่เพียงพอ,เขา ตัดสินใจ ว่า มัน ไม่ เพียงพอ,ขอ ตัดสินใจ ว่า มัน ไม่ เพียงพอ,เขา ตัดสินใจ ว่า มัน ไม่ เพียงพอ,ขอ ตัดสินใจ ว่า มัน ไม่ เพียงพอ
แสน็กแพดบนคีย์บอร์ดนี้ต้องได้รับการวัดระดับใหม่,เน็กซ์แผลบนคีย์บอร์ดนี้ต้องได้รับการวัดระดับใหม่,แสน็ก แพ ดบน คีย์บอร์ด นี้ ต้อง ได้รับ การ วัด ระดับ ใหม่,เน็กซ์ แผล บน คีย์บอร์ด นี้ ต้อง ได้รับ การ วัด ระดับ ใหม่,แสน็กแพด บนคีย์ บอร์ด นี้ ต้อง ได้ รับ การ วัด ระดับ ใหม่,เน็กซ์ แผล บนคีย์บอร์ด นี้ ต้อง ได้ รับ การ วัด ระดับ ใหม่
ฉันมีแค่อย่างเดียวฉันสามารถมีได้เพียงแค่นั้น,ฉันมีแค่อย่างเดียว,ฉัน มี แค่ อย่าง เดียว ฉัน สามารถ มี ได้ เพียง แค่นั้น,ฉัน มี แค่ อย่าง เดียว,ฉัน มี แค่ อย่าง เดียว ฉัน สามารถ มี ได้ เพียง แค่ นั้น,ฉัน มี แค่ อย่าง เดียว
